# FSPS UV calibration generated by native FSPS v4.0.
# FSPS source: /home/czkong/software/fsps
# Native driver: /home/czkong/GC-BH_Model/FSPS/FSPS_BPASS; IMF: kroupa; SFH: ssp.
# Spectrum is rest-frame vacuum L_nu per initially formed solar mass; no filter integration is used.
# Wavelength: 1450 Angstrom; native bracket: 1449, 1451 Angstrom.
# Age grid: 99 logarithmically spaced points, min=1.0000000000e-04 Gyr, max=0.7643904854974003 Gyr.
# Metallicity grid: 99 points, uniform in log10(Z/Zsun), range=-2.301029986 to 0.3010300054.
# Metallicity interpolation: linear in L_nu between native [Fe/H] points; native range=-2.301029986 to 0.3010300054.
# M_AB = -2.5*log10(L_nu[Lsun/Hz]) - 32.365766193400795.
age_gyr,log10_age_gyr,feh,z_ratio,M1450_AB_per_Msun
1.0000000000e-04,-4.0000000000e+00,-2.3010299860e+00,5.0000001118e-03,8.3187593244e-02
1.0000000000e-04,-4.0000000000e+00,-2.2744783534e+00,5.3152249161e-03,7.9587625356e-02
1.0000000000e-04,-4.0000000000e+00,-2.2479267208e+00,5.6503230553e-03,7.5999554420e-02
1.0000000000e-04,-4.0000000000e+00,-2.2213750883e+00,6.0065474432e-03,7.2423302062e-02
1.0000000000e-04,-4.0000000000e+00,-2.1948234557e+00,6.3852299832e-03,6.8858790682e-02
1.0000000000e-04,-4.0000000000e+00,-2.1682718231e+00,6.7877865486e-03,6.5305943439e-02
1.0000000000e-04,-4.0000000000e+00,-2.1417201906e+00,7.2157222763e-03,6.1764684244e-02
1.0000000000e-04,-4.0000000000e+00,-2.1151685580e+00,7.6706371946e-03,5.8234937752e-02
1.0000000000e-04,-4.0000000000e+00,-2.0886169254e+00,8.1542322055e-03,5.4716629350e-02
1.0000000000e-04,-4.0000000000e+00,-2.0620652929e+00,8.6683154442e-03,5.1209685146e-02
1.0000000000e-04,-4.0000000000e+00,-2.0355136603e+00,9.2148090399e-03,4.7714031964e-02
1.0000000000e-04,-4.0000000000e+00,-2.0089620277e+00,9.7957563022e-03,4.4229597332e-02
1.0000000000e-04,-4.0000000000e+00,-1.9824103952e+00,1.0413329361e-02,4.0756309472e-02
1.0000000000e-04,-4.0000000000e+00,-1.9558587626e+00,1.1069837288e-02,3.7294097296e-02
1.0000000000e-04,-4.0000000000e+00,-1.9293071301e+00,1.1767734731e-02,3.3842890390e-02
1.0000000000e-04,-4.0000000000e+00,-1.9027554975e+00,1.2509631090e-02,3.0402619011e-02
1.0000000000e-04,-4.0000000000e+00,-1.8762038649e+00,1.3298300275e-02,2.6973214078e-02
1.0000000000e-04,-4.0000000000e+00,-1.8496522324e+00,1.4136691077e-02,2.3554607162e-02
1.0000000000e-04,-4.0000000000e+00,-1.8231005998e+00,1.5027938192e-02,2.0146730476e-02
1.0000000000e-04,-4.0000000000e+00,-1.7965489672e+00,1.5975373946e-02,1.6749516873e-02
1.0000000000e-04,-4.0000000000e+00,-1.7699973347e+00,1.6982540749e-02,1.3362899832e-02
1.0000000000e-04,-4.0000000000e+00,-1.7434457021e+00,1.8053204342e-02,9.9868134526e-03
1.0000000000e-04,-4.0000000000e+00,-1.7168940695e+00,1.9191367877e-02,6.6211924480e-03
1.0000000000e-04,-4.0000000000e+00,-1.6903424370e+00,2.0401286887e-02,3.2659721365e-03
1.0000000000e-04,-4.0000000000e+00,-1.6637908044e+00,2.1687485191e-02,-7.8911566007e-05
1.0000000000e-04,-4.0000000000e+00,-1.6372391718e+00,2.3054771816e-02,-3.4135221530e-03
1.0000000000e-04,-4.0000000000e+00,-1.6106875393e+00,2.4508258970e-02,-6.7379225349e-03
1.0000000000e-04,-4.0000000000e+00,-1.5841359067e+00,2.6053381163e-02,-1.0052175046e-02
1.0000000000e-04,-4.0000000000e+00,-1.5575842741e+00,2.7695915522e-02,-1.3356341451e-02
1.0000000000e-04,-4.0000000000e+00,-1.5310326416e+00,2.9442003393e-02,-1.6650482953e-02
1.0000000000e-04,-4.0000000000e+00,-1.5044810090e+00,3.1298173303e-02,-1.9934660200e-02
1.0000000000e-04,-4.0000000000e+00,-1.4779293765e+00,3.3271365370e-02,-2.3208933290e-02
1.0000000000e-04,-4.0000000000e+00,-1.4513777439e+00,3.5368957250e-02,-2.6473361780e-02
1.0000000000e-04,-4.0000000000e+00,-1.4248261113e+00,3.7598791726e-02,-2.9728004692e-02
1.0000000000e-04,-4.0000000000e+00,-1.3982744788e+00,3.9969206026e-02,-3.2972920517e-02
1.0000000000e-04,-4.0000000000e+00,-1.3717228462e+00,4.2489062999e-02,-3.6208167225e-02
1.0000000000e-04,-4.0000000000e+00,-1.3451712136e+00,4.5167784253e-02,-3.9433802267e-02
1.0000000000e-04,-4.0000000000e+00,-1.3186195811e+00,4.8015385379e-02,-4.2649882586e-02
1.0000000000e-04,-4.0000000000e+00,-1.2920679485e+00,5.1042513404e-02,-4.6146575394e-02
1.0000000000e-04,-4.0000000000e+00,-1.2655163159e+00,5.4260486591e-02,-5.0199388034e-02
1.0000000000e-04,-4.0000000000e+00,-1.2389646834e+00,5.7681336768e-02,-5.4237128665e-02
1.0000000000e-04,-4.0000000000e+00,-1.2124130508e+00,6.1317854306e-02,-5.8259908974e-02
1.0000000000e-04,-4.0000000000e+00,-1.1858614182e+00,6.5183635944e-02,-6.2267839414e-02
1.0000000000e-04,-4.0000000000e+00,-1.1593097857e+00,6.9293135629e-02,-6.6261029215e-02
1.0000000000e-04,-4.0000000000e+00,-1.1327581531e+00,7.3661718555e-02,-7.0239586408e-02
1.0000000000e-04,-4.0000000000e+00,-1.1062065206e+00,7.8305718614e-02,-7.4203617841e-02
1.0000000000e-04,-4.0000000000e+00,-1.0796548880e+00,8.3242499468e-02,-7.8153229197e-02
1.0000000000e-04,-4.0000000000e+00,-1.0531032554e+00,8.8490519472e-02,-8.2088525006e-02
1.0000000000e-04,-4.0000000000e+00,-1.0265516229e+00,9.4069400684e-02,-8.6009608671e-02
1.0000000000e-04,-4.0000000000e+00,-9.9999999029e-01,1.0000000224e-01,-8.9916582473e-02
1.0000000000e-04,-4.0000000000e+00,-9.7344835773e-01,1.0630449832e-01,-9.3565956125e-02
1.0000000000e-04,-4.0000000000e+00,-9.4689672516e-01,1.1300646111e-01,-9.7203104592e-02
1.0000000000e-04,-4.0000000000e+00,-9.2034509260e-01,1.2013094886e-01,-1.0082810951e-01
1.0000000000e-04,-4.0000000000e+00,-8.9379346003e-01,1.2770459966e-01,-1.0444105169e-01
1.0000000000e-04,-4.0000000000e+00,-8.6724182747e-01,1.3575573097e-01,-1.0804201116e-01
1.0000000000e-04,-4.0000000000e+00,-8.4069019491e-01,1.4431444553e-01,-1.1163106713e-01
1.0000000000e-04,-4.0000000000e+00,-8.1413856234e-01,1.5341274389e-01,-1.1546039899e-01
1.0000000000e-04,-4.0000000000e+00,-7.8758692978e-01,1.6308464411e-01,-1.1970763180e-01
1.0000000000e-04,-4.0000000000e+00,-7.6103529721e-01,1.7336630888e-01,-1.2393831481e-01
1.0000000000e-04,-4.0000000000e+00,-7.3448366465e-01,1.8429618080e-01,-1.2815257649e-01
1.0000000000e-04,-4.0000000000e+00,-7.0793203208e-01,1.9591512604e-01,-1.3235054383e-01
1.0000000000e-04,-4.0000000000e+00,-6.8138039952e-01,2.0826658722e-01,-1.3763675329e-01
1.0000000000e-04,-4.0000000000e+00,-6.5482876695e-01,2.2139674577e-01,-1.4345690734e-01
1.0000000000e-04,-4.0000000000e+00,-6.2827713439e-01,2.3535469463e-01,-1.4924602839e-01
1.0000000000e-04,-4.0000000000e+00,-6.0172550182e-01,2.5019262180e-01,-1.5500444561e-01
1.0000000000e-04,-4.0000000000e+00,-5.7517386926e-01,2.6596600550e-01,-1.6073248298e-01
1.0000000000e-04,-4.0000000000e+00,-5.4862223670e-01,2.8273382153e-01,-1.6643045937e-01
1.0000000000e-04,-4.0000000000e+00,-5.2207060413e-01,3.0055876385e-01,-1.7207980099e-01
1.0000000000e-04,-4.0000000000e+00,-4.9551897157e-01,3.1950747892e-01,-1.7710115830e-01
1.0000000000e-04,-4.0000000000e+00,-4.6896733900e-01,3.3965081498e-01,-1.8209939949e-01
1.0000000000e-04,-4.0000000000e+00,-4.4241570644e-01,3.6106408683e-01,-1.8707473643e-01
1.0000000000e-04,-4.0000000000e+00,-4.1586407387e-01,3.8382735755e-01,-1.9202737808e-01
1.0000000000e-04,-4.0000000000e+00,-3.8931244131e-01,4.0802573774e-01,-2.0124330861e-01
1.0000000000e-04,-4.0000000000e+00,-3.6276080874e-01,4.3374970383e-01,-2.1915793911e-01
1.0000000000e-04,-4.0000000000e+00,-3.3620917618e-01,4.6109543632e-01,-2.3678177018e-01
1.0000000000e-04,-4.0000000000e+00,-3.0965754361e-01,4.9016517940e-01,-2.5412409203e-01
1.0000000000e-04,-4.0000000000e+00,-2.8310591105e-01,5.2106762326e-01,-2.6035943693e-01
1.0000000000e-04,-4.0000000000e+00,-2.5655427848e-01,5.5391831044e-01,-2.6133538482e-01
1.0000000000e-04,-4.0000000000e+00,-2.3000264592e-01,5.8884006786e-01,-2.6231045624e-01
1.0000000000e-04,-4.0000000000e+00,-2.0345101336e-01,6.2596346606e-01,-2.6328465276e-01
1.0000000000e-04,-4.0000000000e+00,-1.7689938079e-01,6.6542730740e-01,-2.6425797595e-01
1.0000000000e-04,-4.0000000000e+00,-1.5034774823e-01,7.0737914501e-01,-2.6578068941e-01
1.0000000000e-04,-4.0000000000e+00,-1.2379611566e-01,7.5197583452e-01,-2.6995148330e-01
1.0000000000e-04,-4.0000000000e+00,-9.7244483097e-02,7.9938412052e-01,-2.7410631661e-01
1.0000000000e-04,-4.0000000000e+00,-7.0692850533e-02,8.4978125998e-01,-2.7824531104e-01
1.0000000000e-04,-4.0000000000e+00,-4.4141217968e-02,9.0335568505e-01,-2.8236858688e-01
1.0000000000e-04,-4.0000000000e+00,-1.7589585404e-02,9.6030770759e-01,-2.8647626308e-01
1.0000000000e-04,-4.0000000000e+00,8.9620471609e-03,1.0208502681e+00,-2.9484362806e-01
1.0000000000e-04,-4.0000000000e+00,3.5513679726e-02,1.0852097318e+00,-3.1142584459e-01
1.0000000000e-04,-4.0000000000e+00,6.2065312290e-02,1.1536267354e+00,-3.2775860951e-01
1.0000000000e-04,-4.0000000000e+00,8.8616944855e-02,1.2263570861e+00,-3.4384931691e-01
1.0000000000e-04,-4.0000000000e+00,1.1516857742e-01,1.3036727189e+00,-3.5970503688e-01
1.0000000000e-04,-4.0000000000e+00,1.4172020998e-01,1.3858627126e+00,-3.7533253423e-01
1.0000000000e-04,-4.0000000000e+00,1.6827184255e-01,1.4732343711e+00,-3.9073828579e-01
