# FSPS UV calibration generated by native FSPS v4.0.
# FSPS source: /home/czkong/software/fsps
# Native driver: /home/czkong/GC-BH_Model/FSPS/FSPS_MIST_C3KLR; IMF: kroupa; SFH: ssp.
# Spectrum is rest-frame vacuum L_nu per initially formed solar mass; no filter integration is used.
# Wavelength: 1450 Angstrom; native bracket: 1447.734615, 1454.991415 Angstrom.
# Age grid: 99 logarithmically spaced points, min=1.0000000000e-04 Gyr, max=0.7643904854974003 Gyr.
# Metallicity grid: 99 points, uniform in log10(Z/Zsun), range=-2.5 to 0.5.
# Metallicity interpolation: linear in L_nu between native [Fe/H] points; native range=-2.5 to 0.5.
# M_AB = -2.5*log10(L_nu[Lsun/Hz]) - 32.365766193400795.
age_gyr,log10_age_gyr,feh,z_ratio,M1450_AB_per_Msun
1.0000000000e-04,-4.0000000000e+00,-2.5000000000e+00,3.1622776602e-03,-2.3032318726e-01
1.0000000000e-04,-4.0000000000e+00,-2.4693877551e+00,3.3932217719e-03,-2.3465840149e-01
1.0000000000e-04,-4.0000000000e+00,-2.4387755102e+00,3.6410319493e-03,-2.3897637454e-01
1.0000000000e-04,-4.0000000000e+00,-2.4081632653e+00,3.9069399371e-03,-2.4327724301e-01
1.0000000000e-04,-4.0000000000e+00,-2.3775510204e+00,4.1922674352e-03,-2.4756114188e-01
1.0000000000e-04,-4.0000000000e+00,-2.3469387755e+00,4.4984326690e-03,-2.5182820454e-01
1.0000000000e-04,-4.0000000000e+00,-2.3163265306e+00,4.8269574377e-03,-2.5607856280e-01
1.0000000000e-04,-4.0000000000e+00,-2.2857142857e+00,5.1794746792e-03,-2.6031234694e-01
1.0000000000e-04,-4.0000000000e+00,-2.2551020408e+00,5.5577365865e-03,-2.6452968572e-01
1.0000000000e-04,-4.0000000000e+00,-2.2244897959e+00,5.9636233166e-03,-2.7173286497e-01
1.0000000000e-04,-4.0000000000e+00,-2.1938775510e+00,6.3991523363e-03,-2.7948407067e-01
1.0000000000e-04,-4.0000000000e+00,-2.1632653061e+00,6.8664884500e-03,-2.8718033158e-01
1.0000000000e-04,-4.0000000000e+00,-2.1326530612e+00,7.3679545597e-03,-2.9482242117e-01
1.0000000000e-04,-4.0000000000e+00,-2.1020408163e+00,7.9060432109e-03,-3.0241109670e-01
1.0000000000e-04,-4.0000000000e+00,-2.0714285714e+00,8.4834289824e-03,-3.0994709966e-01
1.0000000000e-04,-4.0000000000e+00,-2.0408163265e+00,9.1029817799e-03,-3.1743115622e-01
1.0000000000e-04,-4.0000000000e+00,-2.0102040816e+00,9.7677811009e-03,-3.2486397761e-01
1.0000000000e-04,-4.0000000000e+00,-1.9795918367e+00,1.0481131342e-02,-3.3165460658e-01
1.0000000000e-04,-4.0000000000e+00,-1.9489795918e+00,1.1246578221e-02,-3.3810891416e-01
1.0000000000e-04,-4.0000000000e+00,-1.9183673469e+00,1.2067926406e-02,-3.4452507985e-01
1.0000000000e-04,-4.0000000000e+00,-1.8877551020e+00,1.2949258422e-02,-3.5090355181e-01
1.0000000000e-04,-4.0000000000e+00,-1.8571428571e+00,1.3894954944e-02,-3.5724477033e-01
1.0000000000e-04,-4.0000000000e+00,-1.8265306122e+00,1.4909716572e-02,-3.6354916806e-01
1.0000000000e-04,-4.0000000000e+00,-1.7959183673e+00,1.5998587196e-02,-3.6981717012e-01
1.0000000000e-04,-4.0000000000e+00,-1.7653061224e+00,1.7166979066e-02,-3.7604919433e-01
1.0000000000e-04,-4.0000000000e+00,-1.7346938776e+00,1.8420699693e-02,-3.8324517584e-01
1.0000000000e-04,-4.0000000000e+00,-1.7040816327e+00,1.9765980717e-02,-3.9138583290e-01
1.0000000000e-04,-4.0000000000e+00,-1.6734693878e+00,2.1209508879e-02,-3.9946590671e-01
1.0000000000e-04,-4.0000000000e+00,-1.6428571429e+00,2.2758459261e-02,-4.0748629236e-01
1.0000000000e-04,-4.0000000000e+00,-1.6122448980e+00,2.4420530945e-02,-4.1544786522e-01
1.0000000000e-04,-4.0000000000e+00,-1.5816326531e+00,2.6203985289e-02,-4.2335148156e-01
1.0000000000e-04,-4.0000000000e+00,-1.5510204082e+00,2.8117686980e-02,-4.3119797907e-01
1.0000000000e-04,-4.0000000000e+00,-1.5204081633e+00,3.0171148105e-02,-4.3898817742e-01
1.0000000000e-04,-4.0000000000e+00,-1.4897959184e+00,3.2374575428e-02,-4.4606888264e-01
1.0000000000e-04,-4.0000000000e+00,-1.4591836735e+00,3.4738921121e-02,-4.5180299454e-01
1.0000000000e-04,-4.0000000000e+00,-1.4285714286e+00,3.7275937203e-02,-4.5750698183e-01
1.0000000000e-04,-4.0000000000e+00,-1.3979591837e+00,3.9998233956e-02,-4.6318115939e-01
1.0000000000e-04,-4.0000000000e+00,-1.3673469388e+00,4.2919342601e-02,-4.6882583717e-01
1.0000000000e-04,-4.0000000000e+00,-1.3367346939e+00,4.6053782558e-02,-4.7444132032e-01
1.0000000000e-04,-4.0000000000e+00,-1.3061224490e+00,4.9417133613e-02,-4.8002790928e-01
1.0000000000e-04,-4.0000000000e+00,-1.2755102041e+00,5.3026113359e-02,-4.8558589989e-01
1.0000000000e-04,-4.0000000000e+00,-1.2448979592e+00,5.6898660290e-02,-4.9160266353e-01
1.0000000000e-04,-4.0000000000e+00,-1.2142857143e+00,6.1054022966e-02,-5.0000504432e-01
1.0000000000e-04,-4.0000000000e+00,-1.1836734694e+00,6.5512855686e-02,-5.0834289915e-01
1.0000000000e-04,-4.0000000000e+00,-1.1530612245e+00,7.0297321153e-02,-5.1661721151e-01
1.0000000000e-04,-4.0000000000e+00,-1.1224489796e+00,7.5431200634e-02,-5.2482894260e-01
1.0000000000e-04,-4.0000000000e+00,-1.0918367347e+00,8.0940012161e-02,-5.3297903196e-01
1.0000000000e-04,-4.0000000000e+00,-1.0612244898e+00,8.6851137375e-02,-5.4106839813e-01
1.0000000000e-04,-4.0000000000e+00,-1.0306122449e+00,9.3193957623e-02,-5.4909793927e-01
1.0000000000e-04,-4.0000000000e+00,-1.0000000000e+00,1.0000000000e-01,-5.5706853377e-01
1.0000000000e-04,-4.0000000000e+00,-9.6938775510e-01,1.0730309405e-01,-5.6112579905e-01
1.0000000000e-04,-4.0000000000e+00,-9.3877551020e-01,1.1513953993e-01,-5.6516795924e-01
1.0000000000e-04,-4.0000000000e+00,-9.0816326531e-01,1.2354828883e-01,-5.6919512640e-01
1.0000000000e-04,-4.0000000000e+00,-8.7755102041e-01,1.3257113656e-01,-5.7320741135e-01
1.0000000000e-04,-4.0000000000e+00,-8.4693877551e-01,1.4225293135e-01,-5.7720492367e-01
1.0000000000e-04,-4.0000000000e+00,-8.1632653061e-01,1.5264179672e-01,-5.8118777175e-01
1.0000000000e-04,-4.0000000000e+00,-7.8571428571e-01,1.6378937070e-01,-5.8515606277e-01
1.0000000000e-04,-4.0000000000e+00,-7.5510204082e-01,1.7575106249e-01,-5.8910990276e-01
1.0000000000e-04,-4.0000000000e+00,-7.2448979592e-01,1.8858632788e-01,-5.9533147699e-01
1.0000000000e-04,-4.0000000000e+00,-6.9387755102e-01,2.0235896477e-01,-6.0197085464e-01
1.0000000000e-04,-4.0000000000e+00,-6.6326530612e-01,2.1713743029e-01,-6.0856987852e-01
1.0000000000e-04,-4.0000000000e+00,-6.3265306122e-01,2.3299518105e-01,-6.1512903620e-01
1.0000000000e-04,-4.0000000000e+00,-6.0204081633e-01,2.5001103826e-01,-6.2164880648e-01
1.0000000000e-04,-4.0000000000e+00,-5.7142857143e-01,2.6826957953e-01,-6.2812965957e-01
1.0000000000e-04,-4.0000000000e+00,-5.4081632653e-01,2.8786155924e-01,-6.3457205732e-01
